Emotion,Round,Condition,Location,Mean_Pressure,Max_Pressure,Pressure_Variance,Pressure_Gradient,Median_Force,Contact_Area,Rate_of_Pressure_Change,Pressure_Std,Num_Touches,Max_Touch_Duration,Min_Touch_Duration,Mean_Touch_Duration,Estimated_Sampling_Rate,Max_Touch_Area,PN
Sadness,round1,torso,torso,6.174946584914804,10.299656312698277,1.383379809953202,0.1662282361362176,5.723826572967677,0,0.1662282361362176,1.1761716753744762,1,0.0351437699680511,0.0351437699680511,0.0351437699680511,28.454545454545453,0,28
Empathy,round2,torso,torso,6.521097936816381,11.220802667600694,1.816045531711864,0.1769781691366106,6.134028251065736,1,0.1769781691366106,1.347607335877875,6,0.0748299319727891,0.0374149659863945,0.0498866213151927,26.727272727272727,1,28
Sadness,round3,torso,torso,6.21072341088197,11.247683955702763,1.3209154363194149,0.1679959218358858,5.881105160564548,1,0.1679959218358858,1.149310852780663,1,0.0339506172839506,0.0339506172839506,0.0339506172839506,29.454545454545453,1,28
Happiness,round3,torso,torso,6.229088666933041,11.975587971450766,1.7241512177674454,0.1706391206569542,5.77931435611982,1,0.1706391206569542,1.3130693880246562,3,0.0668693009118541,0.033434650455927,0.044579533941236,29.90909090909091,1,28
Love,round3,torso,torso,6.259806451380399,11.238382299458705,1.5022089467207975,0.1891977630240019,5.848076268194779,1,0.1891977630240019,1.225646338354094,2,0.0381944444444444,0.0381944444444444,0.0381944444444444,26.181818181818183,1,28
Gratitude,round1,torso,torso,6.279004327034005,16.289181467870357,2.103323586075166,0.174062956649822,5.80597469486526,1,0.174062956649822,1.4502839673923056,3,0.0676923076923076,0.0338461538461538,0.0451282051282051,29.545454545454547,1,28
Empathy,round3,torso,torso,6.035764132530763,11.471836206598333,1.376330272643116,0.1818901949293967,5.639785909868291,1,0.1818901949293967,1.1731710329884195,1,0.0413533834586466,0.0413533834586466,0.0413533834586466,24.181818181818183,1,28
Happiness,round2,torso,torso,5.8188077674771215,8.416393631593357,0.5943496887592885,0.1696867764695334,5.617404836425699,0,0.1696867764695334,0.7709407816163888,0,0,0,0,27.818181818181817,0,28
attention,round1,torso,torso,5.919629466105262,9.46327587812399,0.9126579050177936,0.1656733481027472,5.623714324889907,0,0.1656733481027472,0.9553313064156296,0,0,0,0,35.27272727272727,0,28
Sadness,round2,torso,torso,6.056525103621249,10.296027271869225,1.2443462374288214,0.1703129600763432,5.5920633157501705,0,0.1703129600763432,1.1155026837389597,1,0.0390070921985815,0.0390070921985815,0.0390070921985815,25.63636363636364,0,28
Empathy,round1,torso,torso,6.552164266019725,15.130506473334512,2.5443810346479294,0.1809886684644872,6.0269562062475135,1,0.1809886684644872,1.5951116057028516,6,0.0842911877394636,0.0421455938697318,0.0561941251596424,23.727272727272727,1,28
attention,round3,torso,torso,5.936355531289563,10.100440502246917,1.0851415045841666,0.1660660011069971,5.543858276721197,0,0.1660660011069971,1.0417012549594853,1,0.0336391437308868,0.0336391437308868,0.0336391437308868,29.727272727272727,0,28
Love,round1,torso,torso,6.1042190719835645,11.0125466639221,1.2657429778380616,0.1866496905611847,5.7342464118202825,1,0.1866496905611847,1.1250524333728014,1,0.0419847328244274,0.0419847328244274,0.0419847328244274,23.818181818181817,1,28
Comfort,round1,torso,torso,6.481402224837969,12.211786758883228,2.259145400579949,0.1718489676949385,5.955132223185939,1,0.1718489676949385,1.5030453754228277,7,0.0761245674740484,0.0380622837370242,0.0489372219476025,26.272727272727277,1,28
Comfort,round3,torso,torso,5.901749408682336,8.713142588861905,0.8450414371632213,0.1788579302440415,5.630148559064526,0,0.1788579302440415,0.91926135411167,0,0,0,0,22.818181818181817,0,28
Gratitude,round3,torso,torso,6.321799115929726,12.520826941727696,1.9460090914145851,0.1770156860209855,5.846382964891916,1,0.1770156860209855,1.3949942979864058,2,0.0846153846153846,0.0423076923076923,0.0634615384615384,23.63636363636364,1,28
Love,round3,torso,torso,6.3249202656152885,12.5116019401339,1.477610867484624,0.1628836292880821,5.967151813115724,1,0.1628836292880821,1.2155701820481712,7,0.0700636942675159,0.0350318471337579,0.0500454959053685,28.545454545454547,1,09
Comfort,round2,torso,torso,6.80575996628016,15.328386898226956,3.464890438840188,0.1813191013055106,6.072190624315894,1.411764705882353,0.1813191013055106,1.8614216176998128,7,0.4285714285714285,0.0476190476190476,0.1632653061224489,21,3,09
Happiness,round3,torso,torso,6.509682868635608,12.324602170448426,2.240067200118099,0.1634045230084665,6.023640877277858,1,0.1634045230084665,1.496685404524979,5,0.197841726618705,0.039568345323741,0.0870503597122302,25.272727272727277,1,09
attention,round2,torso,torso,6.559467414715934,12.794628920168286,2.244251339076122,0.161227769736532,6.1378280769160405,1.25,0.161227769736532,1.4980825541591898,9,0.0856031128404669,0.0428015564202334,0.0475572849113705,23.363636363636363,2,09
Love,round2,torso,torso,6.660176221028455,14.418970766159257,3.04458380185584,0.1845726047065445,6.065896881266279,1.2727272727272727,0.1845726047065445,1.744873577614103,10,0.484,0.044,0.154,22.727272727272727,2,09
Sadness,round3,torso,torso,7.017242071693592,16.949317866213566,5.077774841976407,0.1833494045671954,6.078909309202393,1.3333333333333333,0.1833494045671954,2.2533918527358723,6,0.8427419354838709,0.1774193548387096,0.4879032258064515,22.545454545454547,3,09
Happiness,round1,torso,torso,7.274138966501872,17.04926149314225,5.289546163425814,0.1899534665317951,6.590372196311511,1.2727272727272727,0.1899534665317951,2.2999013377590383,6,0.9166666666666669,0.0572916666666666,0.3055555555555556,17.454545454545453,2,09
Gratitude,round2,torso,torso,7.388303559187617,17.68221645499016,5.477049419527515,0.1656243348539862,6.511905065623566,1.807692307692308,0.1656243348539862,2.3403096845348297,10,1.1171875,0.04296875,0.2578125,23.272727272727277,5,09
Empathy,round2,torso,torso,6.382732515895324,12.591277890669003,2.0245812462262056,0.170091524589264,5.890063879625008,1,0.170091524589264,1.422877804390175,3,0.619718309859155,0.0387323943661971,0.2323943661971831,25.818181818181817,1,09
Sadness,round1,torso,torso,7.652530599112151,18.87037840895673,5.992619134520816,0.1692235817161352,6.8517788765968834,1.3636363636363635,0.1692235817161352,2.447982666303178,7,0.859375,0.04296875,0.4787946428571428,23.272727272727277,3,09
Empathy,round1,torso,torso,6.823497910504464,12.923621492730495,3.2144548030864097,0.177879853035693,6.29281633958736,1,0.177879853035693,1.7928900699949255,3,0.6269430051813472,0.0569948186528497,0.3229706390328151,17.545454545454547,1,09
Gratitude,round3,torso,torso,6.370279682214237,12.899087252209783,1.874824311444941,0.1696669806079617,5.931797901040255,1.181818181818182,0.1696669806079617,1.3692422398702653,11,0.2866449511400651,0.0358306188925081,0.0814332247557003,27.90909090909091,2,09
Sadness,round2,torso,torso,6.806346438739082,15.787277481651444,3.4821772620317613,0.1815632690022481,6.217881912775724,1.2105263157894737,0.1815632690022481,1.8660592868480252,10,0.5377777777777778,0.0488888888888888,0.1466666666666666,20.454545454545453,2,09
Anger,round1,torso,torso,6.863548547342585,29.80786385135679,5.9874092622636095,0.1689934050529317,6.136723584943023,1.4565217391304348,0.1689934050529317,2.4469183194916027,12,0.9133574007220217,0.03971119133574,0.1919374247894103,25.181818181818183,3,09
Anger,round3,torso,torso,10.060294164008573,64.09534871262018,71.64740693139476,0.1677921682421107,7.2311088660018354,7.7560975609756095,0.1677921682421107,8.464479129361402,7,0.9132075471698112,0.0415094339622641,0.3024258760107816,24.09090909090909,14,09
Anger,round2,torso,torso,6.764164811275886,35.510429282159095,4.796022618306196,0.1749259849046863,6.213409141109473,1.2941176470588236,0.1749259849046863,2.189982332875358,11,0.2588235294117647,0.0431372549019607,0.0862745098039215,23.181818181818183,2,09
Empathy,round3,torso,torso,6.964883638514211,15.361367296870394,3.326359067842186,0.1515325028539491,6.427344969080233,1.5714285714285714,0.1515325028539491,1.8238308769845373,3,0.6644295302013423,0.0369127516778523,0.2706935123042506,27.09090909090909,2,09
Love,round1,torso,torso,7.006208599616417,15.702674352096064,3.926255115069361,0.1782321933305703,6.4708387106122975,1.3225806451612905,0.1782321933305703,1.9814780127645528,13,0.4982578397212543,0.0383275261324041,0.1326722058429375,26.09090909090909,3,09
attention,round3,torso,torso,6.5548682269569385,30.55106792028579,8.199672097006426,0.1500812637885415,5.826446184806876,1,0.1500812637885415,2.8635069577366887,3,0.1141868512110726,0.0380622837370242,0.0888119953863898,26.272727272727277,1,09
attention,round1,torso,torso,6.642960006406606,18.603733628660294,2.93739234243249,0.1541887527335424,6.268605373161681,1,0.1541887527335424,1.7138822428721554,8,0.1126279863481228,0.0375426621160409,0.0656996587030716,26.63636363636364,1,09
Comfort,round3,torso,torso,6.129000705708886,10.96288468801242,1.2010738503864904,0.15804852964247,5.798644862367395,0,0.15804852964247,1.0959351488051154,3,0.0324483775811209,0.0324483775811209,0.0324483775811209,30.818181818181817,0,09
Comfort,round1,torso,torso,7.593784759396094,18.469917817875317,7.154226735063428,0.1644249396765233,6.725544373683716,2.324324324324324,0.1644249396765233,2.6747386292988384,14,1.0668896321070234,0.0367892976588628,0.2443860487338748,27.181818181818183,7,09
Happiness,round2,torso,torso,6.597089124972345,12.8352635119301,1.8873822250927197,0.1709737435707516,6.236183931417846,1,0.1709737435707516,1.3738203030573974,4,0.0964912280701754,0.0482456140350877,0.0603070175438596,20.727272727272727,1,09
Gratitude,round1,torso,torso,7.033730026950021,17.12571234989009,3.906862422168465,0.1753156391233151,6.337558088699197,1.121212121212121,0.1753156391233151,1.976578463448508,8,1.5909090909090908,0.0454545454545454,0.4943181818181817,22,2,09
